буква       raw    |   enc
  а:       0.0776  |  0.0204
  б:       0.0204  |  0.0245
  в:       0.0163  |  0.0367
  г:       0.0122  |  0.0204
  д:       0.0408  |  0.0122
  е:       0.0980  |  0.0245
  ж:       0.0000  |  0.0408
  з:       0.0122  |  0.0408
  и:       0.0571  |  0.0286
  й:       0.0041  |  0.0286
  к:       0.0245  |  0.0122
  л:       0.0327  |  0.0245
  м:       0.0286  |  0.0082
  н:       0.0612  |  0.0367
  о:       0.0776  |  0.0286
  п:       0.0204  |  0.0408
  р:       0.0531  |  0.0286
  с:       0.0408  |  0.0245
  т:       0.0571  |  0.0449
  у:       0.0122  |  0.0286
  ф:       0.0000  |  0.0204
  х:       0.0122  |  0.0163
  ц:       0.0122  |  0.0449
  ч:       0.0122  |  0.0163
  ш:       0.0041  |  0.0245
  щ:       0.0000  |  0.0327
  ъ:       0.0000  |  0.0163
  ы:       0.0122  |  0.0204
  ь:       0.0122  |  0.0204
  э:       0.0041  |  0.0122
  ю:       0.0041  |  0.0122
  я:       0.0122  |  0.0408
  ё:       0.0000  |  0.0000
