буква       raw    |   enc
  а:       0.0750  |  0.0083
  б:       0.0208  |  0.0167
  в:       0.0292  |  0.0250
  г:       0.0208  |  0.0083
  д:       0.0167  |  0.0208
  е:       0.0500  |  0.0250
  ж:       0.0000  |  0.0167
  з:       0.0333  |  0.0417
  и:       0.0625  |  0.0333
  й:       0.0000  |  0.0208
  к:       0.0333  |  0.0375
  л:       0.0458  |  0.0292
  м:       0.0208  |  0.0292
  н:       0.0583  |  0.0208
  о:       0.0583  |  0.0333
  п:       0.0167  |  0.0250
  р:       0.0375  |  0.0292
  с:       0.0458  |  0.0042
  т:       0.0417  |  0.0208
  у:       0.0333  |  0.0167
  ф:       0.0000  |  0.0250
  х:       0.0042  |  0.0292
  ц:       0.0000  |  0.0250
  ч:       0.0125  |  0.0208
  ш:       0.0042  |  0.0292
  щ:       0.0000  |  0.0417
  ъ:       0.0000  |  0.0500
  ы:       0.0167  |  0.0208
  ь:       0.0208  |  0.0292
  э:       0.0000  |  0.0125
  ю:       0.0125  |  0.0167
  я:       0.0250  |  0.0167
  ё:       0.0000  |  0.0167
