буква       raw    |   enc
  а:       0.0314  |  0.0353
  б:       0.0235  |  0.0314
  в:       0.0196  |  0.0392
  г:       0.0314  |  0.0118
  д:       0.0392  |  0.0196
  е:       0.0275  |  0.0275
  ж:       0.0431  |  0.0314
  з:       0.0118  |  0.0196
  и:       0.0353  |  0.0196
  й:       0.0314  |  0.0235
  к:       0.0275  |  0.0275
  л:       0.0314  |  0.0549
  м:       0.0431  |  0.0431
  н:       0.0314  |  0.0549
  о:       0.0314  |  0.0314
  п:       0.0392  |  0.0353
  р:       0.0196  |  0.0118
  с:       0.0118  |  0.0314
  т:       0.0235  |  0.0235
  у:       0.0275  |  0.0196
  ф:       0.0196  |  0.0078
  х:       0.0235  |  0.0549
  ц:       0.0353  |  0.0235
  ч:       0.0196  |  0.0392
  ш:       0.0549  |  0.0235
  щ:       0.0431  |  0.0353
  ъ:       0.0431  |  0.0314
  ы:       0.0196  |  0.0196
  ь:       0.0471  |  0.0392
  э:       0.0275  |  0.0353
  ю:       0.0353  |  0.0235
  я:       0.0118  |  0.0353
  ё:       0.0392  |  0.0392
