буква       raw    |   enc
  а:       0.0763  |  0.0321
  б:       0.0120  |  0.0080
  в:       0.0643  |  0.0040
  г:       0.0201  |  0.0281
  д:       0.0040  |  0.0080
  е:       0.0763  |  0.0201
  ж:       0.0120  |  0.0161
  з:       0.0241  |  0.0040
  и:       0.0643  |  0.0120
  й:       0.0080  |  0.0241
  к:       0.0361  |  0.0281
  л:       0.0402  |  0.0241
  м:       0.0201  |  0.0522
  н:       0.0763  |  0.0482
  о:       0.0964  |  0.0120
  п:       0.0120  |  0.0442
  р:       0.0241  |  0.0120
  с:       0.0402  |  0.0281
  т:       0.0402  |  0.0402
  у:       0.0161  |  0.0321
  ф:       0.0000  |  0.0241
  х:       0.0040  |  0.0281
  ц:       0.0120  |  0.0201
  ч:       0.0040  |  0.0281
  ш:       0.0040  |  0.0442
  щ:       0.0080  |  0.0442
  ъ:       0.0000  |  0.0281
  ы:       0.0201  |  0.0402
  ь:       0.0120  |  0.0241
  э:       0.0000  |  0.0281
  ю:       0.0040  |  0.0241
  я:       0.0040  |  0.0120
  ё:       0.0000  |  0.0120
