буква       raw    |   enc
  а:       0.0939  |  0.0286
  б:       0.0327  |  0.0163
  в:       0.0122  |  0.0041
  г:       0.0204  |  0.0327
  д:       0.0163  |  0.0041
  е:       0.0571  |  0.0122
  ж:       0.0041  |  0.0163
  з:       0.0327  |  0.0082
  и:       0.0939  |  0.0082
  й:       0.0041  |  0.0082
  к:       0.0449  |  0.0449
  л:       0.0653  |  0.0204
  м:       0.0245  |  0.0286
  н:       0.0327  |  0.0490
  о:       0.0735  |  0.0122
  п:       0.0367  |  0.0245
  р:       0.0286  |  0.0245
  с:       0.0490  |  0.0122
  т:       0.0204  |  0.0367
  у:       0.0163  |  0.0245
  ф:       0.0000  |  0.0286
  х:       0.0082  |  0.0204
  ц:       0.0041  |  0.0694
  ч:       0.0204  |  0.0531
  ш:       0.0082  |  0.0245
  щ:       0.0000  |  0.0449
  ъ:       0.0000  |  0.0327
  ы:       0.0204  |  0.0122
  ь:       0.0041  |  0.0571
  э:       0.0000  |  0.0163
  ю:       0.0000  |  0.0327
  я:       0.0041  |  0.0000
  ё:       0.0000  |  0.0204
