буква       raw    |   enc
  а:       0.0314  |  0.0235
  б:       0.0235  |  0.0392
  в:       0.0196  |  0.0471
  г:       0.0314  |  0.0235
  д:       0.0392  |  0.0353
  е:       0.0275  |  0.0314
  ж:       0.0431  |  0.0353
  з:       0.0118  |  0.0275
  и:       0.0353  |  0.0314
  й:       0.0314  |  0.0157
  к:       0.0275  |  0.0353
  л:       0.0314  |  0.0157
  м:       0.0431  |  0.0471
  н:       0.0314  |  0.0471
  о:       0.0314  |  0.0549
  п:       0.0392  |  0.0235
  р:       0.0196  |  0.0078
  с:       0.0118  |  0.0275
  т:       0.0235  |  0.0353
  у:       0.0275  |  0.0392
  ф:       0.0196  |  0.0353
  х:       0.0235  |  0.0118
  ц:       0.0353  |  0.0235
  ч:       0.0196  |  0.0275
  ш:       0.0549  |  0.0157
  щ:       0.0431  |  0.0078
  ъ:       0.0431  |  0.0275
  ы:       0.0196  |  0.0353
  ь:       0.0471  |  0.0392
  э:       0.0275  |  0.0196
  ю:       0.0353  |  0.0353
  я:       0.0118  |  0.0392
  ё:       0.0392  |  0.0392
