буква       raw    |   enc
  а:       0.0612  |  0.0163
  б:       0.0000  |  0.0000
  в:       0.0367  |  0.0163
  г:       0.0204  |  0.0245
  д:       0.0204  |  0.0041
  е:       0.1020  |  0.0204
  ж:       0.0041  |  0.0163
  з:       0.0163  |  0.0245
  и:       0.0449  |  0.0286
  й:       0.0000  |  0.0204
  к:       0.0204  |  0.0286
  л:       0.0490  |  0.0163
  м:       0.0286  |  0.0082
  н:       0.0286  |  0.0367
  о:       0.0612  |  0.0367
  п:       0.0245  |  0.0367
  р:       0.0286  |  0.0286
  с:       0.0694  |  0.0163
  т:       0.0612  |  0.0327
  у:       0.0245  |  0.0204
  ф:       0.0000  |  0.0122
  х:       0.0000  |  0.0245
  ц:       0.0041  |  0.0612
  ч:       0.0204  |  0.0286
  ш:       0.0041  |  0.0408
  щ:       0.0082  |  0.0245
  ъ:       0.0000  |  0.0367
  ы:       0.0000  |  0.0286
  ь:       0.0163  |  0.0327
  э:       0.0041  |  0.0204
  ю:       0.0122  |  0.0245
  я:       0.0163  |  0.0163
  ё:       0.0000  |  0.0041
