буква       raw    |   enc
  а:       0.0275  |  0.0353
  б:       0.0118  |  0.0392
  в:       0.0353  |  0.0235
  г:       0.0196  |  0.0314
  д:       0.0314  |  0.0392
  е:       0.0392  |  0.0353
  ж:       0.0431  |  0.0235
  з:       0.0314  |  0.0510
  и:       0.0157  |  0.0392
  й:       0.0353  |  0.0275
  к:       0.0314  |  0.0275
  л:       0.0392  |  0.0235
  м:       0.0157  |  0.0314
  н:       0.0275  |  0.0471
  о:       0.0314  |  0.0431
  п:       0.0078  |  0.0196
  р:       0.0275  |  0.0392
  с:       0.0353  |  0.0314
  т:       0.0392  |  0.0196
  у:       0.0275  |  0.0235
  ф:       0.0275  |  0.0392
  х:       0.0314  |  0.0353
  ц:       0.0275  |  0.0235
  ч:       0.0275  |  0.0078
  ш:       0.0275  |  0.0392
  щ:       0.0431  |  0.0196
  ъ:       0.0392  |  0.0235
  ы:       0.0353  |  0.0314
  ь:       0.0431  |  0.0353
  э:       0.0510  |  0.0353
  ю:       0.0196  |  0.0157
  я:       0.0314  |  0.0196
  ё:       0.0235  |  0.0235
